REFNUM			NACA64618_Re3M_AAA_R02
8.5	1.206	0.0153	-0.137
9	1.223	0.0181	-0.1353
9.5	1.238	0.0213	-0.1323
10	1.251	0.0247	-0.1301
10.5	1.261	0.0285	-0.1294
11	1.269	0.0325	-0.1312
11.5	1.276	0.0369	-0.1348
12	1.284	0.0416	-0.1369
12.5	1.296	0.0466	-0.1369
13	1.311	0.0519	-0.1361
13.5	1.322	0.0575	-0.1353
14	1.33	0.0634	-0.1337
14.5	1.343	0.0696	-0.132
15	1.36	0.0761	-0.1328
15.5	1.37	0.0829	-0.1351
16	1.37	0.09	-0.136
16.5	1.365	0.0974	-0.1364
17	1.359	0.105	-0.136
17.5	1.34128185	0.1129	-0.1369
18	1.3235637	0.1211	-0.1377
18.5	1.305845549	0.127735515	-0.136814319
19	1.288127399	0.133879034	-0.135561378
19.5	1.267783357	0.140499303	-0.134800142
20	1.245872367	0.147334853	-0.134331555
20.5	1.223961377	0.153968628	-0.133821384
21	1.202050388	0.160446466	-0.133517307
21.5	1.180139398	0.166787335	-0.133634506
22	1.154992838	0.174214331	-0.134592166
24	1.047160637	0.20556418	-0.140223714
26	0.834590142	0.315828084	-0.160688165
28	0.784219544	0.386849749	-0.174560143
30	0.821127351	0.444706123	-0.185659719
32	0.858626703	0.510385381	-0.1966319
34	0.853075568	0.563110716	-0.202073112
36	0.8498	0.614512452	-0.207232629
38	0.8515	0.659520799	-0.20956511
40	0.8496	0.700860174	-0.2108
45	0.8296	0.793733048	-0.2283
50	0.7901	0.871	-0.2473
55	0.7338	0.9657	-0.2651
60	0.663	1.051	-0.282
65	0.5799	1.1255	-0.2978
70	0.4868	1.1885	-0.3128
75	0.3857	1.2392	-0.3269
80	0.2785	1.2771	-0.3401
85	0.1672	1.3018	-0.3525
90	0.0535	1.3132	-0.3639
95	-0.0608	1.3112	-0.3743
100	-0.1738	1.2955	-0.3837
105	-0.2837	1.2665	-0.3917
110	-0.3886	1.2242	-0.3984
115	-0.4866	1.1691	-0.4033
120	-0.5754	1.1015	-0.4061
125	-0.653	1.0223	-0.4065
130	-0.7168	0.9325	-0.4039
135	-0.7645	0.8333	-0.3978
140	-0.7933	0.7265	-0.3873
145	-0.8004	0.6143	-0.3717
150	-0.7831	0.4995	-0.3499
155	-0.7382	0.3853	-0.3206
160	-0.6628	0.2761	-0.2824
165	-0.554	0.1767	-0.2335
170	-0.7754	0.0932	-0.3899
175	-0.3877	0.0327	-0.1945
180	0	0.0189	0
ENDSECTION			
